Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Maruti Eeco 7 Seater ,Maruti,BSIV,2013,42000,Petrol,15.37,1196,73,101,First Owner,Manual,Jaipur,385000
Land Rover Range Rover Evoque 2.2L Dynamic,Land,2.2L Dynamic,2013,100000,Diesel,12.7,2179,187.7,420,First Owner,Automatic,Jaipur,2700000
Maruti Omni CNG,Maruti,CNG,2010,86000,CNG,10.9,796,35,62,First Owner,Manual,Jaipur,195000
Audi A6 2.0 TDI Premium Plus,Audi,2.0 TDI Premium Plus,2014,92000,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Jaipur,1525000
Honda WR-V i-VTEC VX,Honda,V,2019,11759,Petrol,17.5,1199,88.7,110,First Owner,Manual,Jaipur,875000
Audi Q5 2.0 TDI,Audi,2.0 TDI,2012,92000,Diesel,14.16,1968,174.3,380,Second Owner,Automatic,Jaipur,1475000
Maruti Wagon R VXI,Maruti,R,2012,73000,Petrol,21.79,998,67.05,90,First Owner,Manual,Jaipur,290000
Maruti Swift AMT VDI,Maruti,AMT,2018,48000,Diesel,28.4,1248,74,190,First Owner,Automatic,Jaipur,765000
Maruti Swift Dzire LDI,Maruti,LDI,2015,95000,Diesel,23.4,1248,74,190,Second Owner,Manual,Jaipur,510000
Mercedes-Benz GL-Class 220d 4MATIC Sport,Mercedes,Sport,2018,41000,Diesel,17.9,2143,170,400,First Owner,Automatic,Jaipur,4300000
Maruti Celerio ZXI Optional,Maruti,Optional,2016,44000,Petrol,23.1,998,67.04,90,First Owner,Manual,Jaipur,460000
Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes,Avantgarde,2014,53000,Diesel,19.27,2143,170,400,Second Owner,Automatic,Jaipur,1400000
Maruti Celerio VXI AT,Maruti,VXI,2015,40500,Petrol,23.1,998,67.04,90,First Owner,Automatic,Jaipur,393000
Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes,Avantgarde,2014,53000,Diesel,19.27,2143,170,400,Second Owner,Automatic,Jaipur,1400000
Maruti Celerio VXI AT,Maruti,VXI,2015,40500,Petrol,23.1,998,67.04,90,First Owner,Automatic,Jaipur,393000
Mahindra XUV500 W10 2WD,Mahindra,WD,2016,79000,Diesel,16,2179,140,330,First Owner,Manual,Jaipur,1091000
Maruti Swift VDI,Maruti,VDI,2016,83300,Diesel,28.4,1248,74,190,First Owner,Manual,Jaipur,578000
Kia Sonet 1.5 HTX Plus Diesel DT,Kia,1.5 HTX Plus Diesel DT,2020,5100,Diesel,24.1,1493,98.63,240,Second Owner,Manual,Jaipur,1250000
Volkswagen Polo 2015-2019 1.2 MPI Highline,Volkswagen,1.2 MPI Highline,2013,51000,Petrol,16.2,1199,74,110,First Owner,Manual,Jaipur,435000
Hyundai Verna SX CRDi AT,Hyundai,AT,2012,50994,Diesel,19.08,1582,126.32,259.8,Second Owner,Automatic,Jaipur,497000
Volkswagen Vento 1.2 TSI Highline AT,Volkswagen,1.2 TSI Highline AT,2015,14000,Petrol,18.19,1197,103.2,175,First Owner,Automatic,Jaipur,750000
Land Rover Range Rover Evoque 2.2L Pure,Land,2.2L Pure,2012,107256,Diesel,12.7,2179,187.7,420,First Owner,Automatic,Jaipur,2100000
Mercedes-Benz B-Class B200 CDI,Mercedes,B,2016,68000,Diesel,15,2143,107.3,250,First Owner,Automatic,Jaipur,1625000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Toyota,5 G (Diesel) 7 Seater BS IV,2012,163000,Diesel,12.99,2494,100,,First Owner,Manual,Jaipur,795000
Maruti Celerio ZXI Optional,Maruti,Optional,2016,48200,Petrol,23.1,998,67.04,90,First Owner,Manual,Jaipur,463000
Maruti 800 DX,Maruti,DX,2000,145000,Petrol,16.1,796,37,59,Third Owner,Manual,Jaipur,45000
Maruti Alto 800 CNG LXI,Maruti,CNG,2014,81000,CNG,30.46,796,47.3,69,First Owner,Manual,Jaipur,290000
MG Gloster Savvy 7-Str,MG,Str,2021,25000,Diesel,0,1996,215.01,480,First Owner,Automatic,Jaipur,3800000
Toyota Fortuner 3.0 Diesel,Toyota,3.0 Diesel,2009,172000,Diesel,11.5,2982,171,343,Second Owner,Manual,Jaipur,1075000
Hyundai i20 Active 1.2 S,Hyundai,Active,2017,50059,Petrol,17.19,1197,81.86,114.73,First Owner,Manual,Jaipur,630000
Honda Brio VX O,Honda,VX,2015,30000,Petrol,19.4,1198,86.8,109,First Owner,Manual,Jaipur,411000
Volkswagen Ameo 1.5 TDI Highline AT 16 Alloy,Volkswagen,5 TDI Highline AT 16 Alloy,2018,63000,Diesel,22,1498,108.495,250,First Owner,Automatic,Jaipur,820000
Toyota Fortuner 4x2 AT,Toyota,AT,2012,166000,Diesel,12.55,2982,168.5,360,Second Owner,Automatic,Jaipur,1300000
Ford Endeavour Titanium Plus 4X4 AT,Ford,Titanium,2021,20000,Diesel,12.4,1996,167.62,420,First Owner,Automatic,Jaipur,3900000
Maruti Wagon R VXI,Maruti,R,2014,34571,Petrol,21.79,998,67.05,90,First Owner,Manual,Jaipur,370000
Maruti Baleno Zeta CVT,Maruti,CVT,2017,20750,Petrol,19.56,1197,81.8,113,First Owner,Automatic,Jaipur,750000
Mercedes-Benz S-Class 2012-2021 S 350 d,Mercedes,d,2020,15001,Diesel,13.5,2925,281.61,600,First Owner,Automatic,Jaipur,140000
Renault Lodgy 110PS RxZ 7 Seater,Renault,PS,2015,95000,Diesel,19.98,1461,108.5,245,First Owner,Manual,Jaipur,499000
Nissan Micra XV,Nissan,XV,2014,38525,Petrol,18.06,1198,75,104,First Owner,Manual,Jaipur,304000
Maruti Swift LDI,Maruti,LDI,2011,85252,Diesel,22.9,1248,74,190,First Owner,Manual,Jaipur,395000
Maruti Ritz LDi,Maruti,LDi,2010,84000,Diesel,23.2,1248,73.94,190,Second Owner,Manual,Jaipur,255000
Mercedes-Benz C-Class C 220 CDI Avantgarde,Mercedes,Avantgarde,2012,100000,Diesel,19.27,2143,170,400,First Owner,Automatic,Jaipur,1200000
Mini Cooper Countryman D,Mini,D,2014,49000,Diesel,23.8,1998,112,270,Second Owner,Automatic,Jaipur,1800000
BMW 3 Series 320d Sport Line,BMW,320d,2013,57201,Diesel,18.88,1995,184,380,Second Owner,Automatic,Jaipur,1250000
Maruti Ignis 1.2 Delta BSIV,Maruti,Delta,2019,19800,Petrol,20.89,1197,81.8,113,First Owner,Manual,Jaipur,535000
Honda Jazz 1.2 V i VTEC,Honda,1.2 V i VTEC,2018,8146,Petrol,18.7,1199,88.7,110,Second Owner,Manual,Jaipur,675000
Audi Q7 2006-2020 3.0 TDI Quattro Premium Plus,Audi,3.0 TDI Quattro Premium Plus,2013,72000,Diesel,12.07,2967,241.4,550,Second Owner,Automatic,Jaipur,2050000
Maruti A Star Vxi,Maruti,Vxi,2009,76000,Petrol,19,998,66.1,90,Second Owner,Manual,Jaipur,210000
Hyundai i10 ,Hyundai,Era 1.1,2010,91000,Petrol,19.81,1086,68.05,99.04,First Owner,Manual,Jaipur,211000
Maruti Alto LXi,Maruti,LXi,2009,80000,Petrol,19.7,796,46.3,62,Second Owner,Manual,Jaipur,130000
Hyundai EON Magna Plus,Hyundai,Plus,2016,24200,Petrol,21.1,814,55.2,74.5,First Owner,Manual,Jaipur,318000
Hyundai Verna 1.6 SX CRDI (O) AT,Hyundai,SX,2015,76200,Diesel,22.32,1582,126.32,,First Owner,Automatic,Jaipur,711000
Toyota Etios GD,Toyota,GD,2012,80000,Diesel,23.59,1364,67.05,170,Second Owner,Manual,Jaipur,350000
BMW 5 Series 520d Luxury Line,BMW,520d,2015,74137,Diesel,20.37,1995,187.74,400,First Owner,Automatic,Jaipur,2700000
Nissan Micra XL,Nissan,XL,2011,62000,Petrol,18.44,1198,75,104,First Owner,Manual,Jaipur,215000
Mercedes-Benz GLA Class 200 d Sport,Mercedes,Sport,2016,71182,Diesel,17.9,2143,136,300,First Owner,Automatic,Jaipur,2195000
Volkswagen Polo 1.5 TDI Highline,Volkswagen,TDI,2018,50000,Diesel,20.14,1498,88.8,230,First Owner,Manual,Jaipur,750000
Audi Q3 2.0 TDI Quattro Premium Plus,Audi,2.0 TDI Quattro Premium Plus,2014,70000,Diesel,15.73,1968,174.33,380,Second Owner,Automatic,Jaipur,1500000
Maruti Alto LXi BSIII,Maruti,BSIII,2009,122000,Petrol,19.7,796,46.3,62,Second Owner,Manual,Jaipur,155000
Renault Duster 110PS Diesel RXZ Option,Renault,PS,2013,74000,Diesel,19.64,1461,108.45,245,First Owner,Manual,Jaipur,525000
Audi A6 2.0 TDI Premium Plus,Audi,2.0 TDI Premium Plus,2013,90000,Diesel,17.68,1968,174.33,380,Second Owner,Automatic,Jaipur,1500000
Land Rover Range Rover Evoque HSE Dynamic,Land,Dynamic,2016,53000,Diesel,12.7,2179,187.7,420,Second Owner,Automatic,Jaipur,3700000
Mahindra Scorpio M2DI,Mahindra,M,2008,111000,Diesel,13.5,2179,115,277.5,First Owner,Manual,Jaipur,315000
Hyundai i10 Sportz 1.1L,Hyundai,1.1L,2014,43500,Petrol,19.81,1086,68.05,99.04,First Owner,Manual,Jaipur,355000
Hyundai i20 1.2 Sportz,Hyundai,1.2 Sportz,2010,71000,Petrol,17,1197,80,114,Second Owner,Manual,Jaipur,285000
Audi A6 2.0 TDI,Audi,2.0 TDI,2014,93500,Diesel,17.68,1968,174.33,380,First Owner,Automatic,Jaipur,1525000
BMW 3 Series 320d GT Luxury Line,BMW,Line,2015,80000,Diesel,19.59,1995,187.74,380,First Owner,Automatic,Jaipur,2250000
Maruti Alto 800  LXI,Maruti,LXI,2012,81000,CNG,30.46,796,47.3,69,First Owner,Manual,Jaipur,275000
Honda Brio VX AT,Honda,VX,2013,40732,Petrol,16.5,1198,86.8,109,First Owner,Automatic,Jaipur,389000
Hyundai i10 ,Hyundai,Magna 1.1,2008,57000,Petrol,19.81,1086,68.05,99.04,Third Owner,Manual,Jaipur,190000
Maruti Eeco 7 Seater STD,Maruti,STD,2018,42264,Petrol,16.11,1196,72.42,98,First Owner,Manual,Jaipur,440000
Maruti Alto LXi,Maruti,LXi,2012,53000,Petrol,19.7,796,46.3,62,First Owner,Manual,Jaipur,220000
Mahindra Bolero Power Plus ZLX,Mahindra,ZLX,2015,119000,Diesel,16.5,1493,70,195,First Owner,Manual,Jaipur,630000
Maruti Swift Dzire VDi,Maruti,VDi,2014,120000,Diesel,19.3,1248,73.9,190,First Owner,Manual,Jaipur,495000
Hyundai i20 Sportz Option 1.2,Hyundai,Sportz,2014,75949,Petrol,18.6,1197,81.83,114.7,First Owner,Manual,Jaipur,396000
MG Hector Sharp Diesel MT,MG,MT,2019,21000,Diesel,0,1956,167.68,350,First Owner,Manual,Jaipur,1850000
BMW X1 xDrive 20d xLine,BMW,xLine,2013,91000,Diesel,20.68,1995,190,400,Second Owner,Automatic,Jaipur,1250000
Honda New Accord 2008-2011 2.4 AT,Honda,2.4 AT,2010,54000,Petrol,11.7,2354,177.6,222,Second Owner,Automatic,Jaipur,395000
Maruti Swift VDI BSIV,Maruti,VDI,2011,78000,Diesel,17.8,1248,0,5,Second Owner,Manual,Jaipur,380000
Hyundai i20 Asta 1.2,Hyundai,1.2,2015,68000,Petrol,18.6,1197,81.83,114.7,First Owner,Manual,Jaipur,570000
Land Rover Range Rover TDV8 (Diesel),Land,Range,2011,62000,Diesel,10.2,4367,308,,Second Owner,Automatic,Jaipur,3200000
Audi A4 ,Audi,2.0 TDI 177 Bhp Premium Plus,2013,51000,Diesel,17.11,1968,174.33,380,First Owner,Automatic,Jaipur,1525000
BMW 5 Series 530d,BMW,530d,2011,69000,Diesel,16.2,2993,258,560,Second Owner,Automatic,Jaipur,1950000
Volkswagen Vento 1.5 TDI Highline,Volkswagen,TDI,2015,80000,Diesel,20.34,1498,103.2,250,First Owner,Manual,Jaipur,700000
Fiat Grande ,Fiat,Punto 1.3 ,2011,110000,Diesel,17.8,1248,76,197,Third Owner,Manual,Jaipur,200000
Toyota Corolla Altis ,Toyota,GL MT,2014,99800,Petrol,14.28,1798,138.03,173,Second Owner,Manual,Jaipur,695000
Audi Q7 ,Audi,3.0 TDI Quattro Premium Plus,2013,71000,Diesel,12.07,2967,241.4,550,Second Owner,Automatic,Jaipur,1975000
Skoda Rapid 1.6 TDI Ambition,Skoda,TDI,2012,68709,Diesel,20.5,1598,103.5,250,Second Owner,Manual,Jaipur,410000
Maruti Swift Dzire 1.2 Vxi BSIV,Maruti,1.2 Vxi BSIV,2010,82447,Petrol,17.5,1197,85.8,114,First Owner,Manual,Jaipur,300000
Maruti Vitara Brezza ZDi,Maruti,ZDi,2017,510000,Diesel,24.3,1248,88.5,200,First Owner,Manual,Jaipur,870000
Hyundai i20 1.2 Sportz,Hyundai,1.2 Sportz,2010,61000,Petrol,17,1197,80,114,Second Owner,Manual,Jaipur,280000
Ford EcoSport,Ford,1.5 Diesel Ambiente,2015,43000,Diesel,21.7,1498,98.96,215,First Owner,Manual,Ahmedabad,550000
Ford Figo,Ford,Diesel ZXI,2012,102456,Diesel,20,1399,68,160,Second Owner,Manual,Ahmedabad,110000
Tata Tiago,Tata,Wizz 1.2 Revotron,2017,59000,Petrol,23.84,1199,84,114,First Owner,Manual,Ahmedabad,440000
Maruti Swift,Maruti,Dzire ZDi,2012,195642,Diesel,19.3,1248,73.9,190,Second Owner,Manual,Ahmedabad,250000
Hyundai EON,Hyundai,D Lite Plus,2013,52000,Petrol,21.1,814,55.2,74,First Owner,Manual,Ahmedabad,264000
Hyundai EON,Hyundai,Magna Plus,2014,50196,Petrol,21.1,814,55.2,74,First Owner,Manual,Ahmedabad,210000
Volkswagen Vento,Volkswagen,Diesel Highline,2011,68000,Diesel,20.54,1598,103.6,250,First Owner,Manual,Ahmedabad,330000
Honda City,Honda,V CVT,2019,28707,Petrol,18.4,1498,119.35,145,First Owner,Automatic,Ahmedabad,1050000
Honda Amaze,Honda,S i-Dtech,2013,69000,Diesel,25.8,1498,98.6,200,Second Owner,Manual,Ahmedabad,339000
Audi Q3,Audi,35 TDI Quattro Premium,2014,71003,Diesel,15.73,1968,174.33,380,First Owner,Automatic,Ahmedabad,1650000
Toyota Innova,Toyota,2.5 G (Diesel) 8 Seater,2013,72000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Ahmedabad,525000
Hyundai Verna,Hyundai,1.6 SX CRDi (O),2015,64000,Diesel,22.32,1582,126.32,259,First Owner,Manual,Ahmedabad,649000
Hyundai Verna,Hyundai,1.6 SX,2013,77000,Diesel,22.32,1582,126.32,259,First Owner,Manual,Ahmedabad,550000
Honda Amaze,Honda,S i-Dtech,2014,67000,Diesel,25.8,1498,98.6,200,First Owner,Manual,Ahmedabad,440000
Skoda Kodiaq,Skoda,2.0 TDI Style,2017,100000,Diesel,16.25,1968,148,340,First Owner,Automatic,Ahmedabad,2550000
BMW 3,BMW,Series 320d Luxury Line,2017,68000,Diesel,22.69,1995,190,400,First Owner,Automatic,Ahmedabad,2590000
Toyota Innova,Toyota,Crysta 2016-2020 2.8 GX AT BSIV,2016,72000,Diesel,11.36,2755,171.5,360,First Owner,Automatic,Ahmedabad,1650000
Audi Q5,Audi,2.0 TDI,2013,91000,Diesel,14.16,1968,174.3,380,Second Owner,Automatic,Ahmedabad,1850000
Volkswagen Passat,Volkswagen,1.8 TSI MT,2010,65329,Petrol,14.3,1798,160,250,First Owner,Manual,Ahmedabad,525000
BMW 3,BMW,Series 320d,2012,68000,Diesel,13.2,1995,170,,First Owner,Automatic,Ahmedabad,1550000
Hyundai Xcent,Hyundai,1.2 CRDi SX,2016,19001,Diesel,25.4,1186,73.97,190,First Owner,Manual,Ahmedabad,575000
Honda City,Honda,i DTec V,2017,47638,Diesel,26,1498,98.6,200,First Owner,Manual,Ahmedabad,850000
Honda Amaze,Honda,EX i-Dtech,2013,64000,Diesel,25.8,1498,98.6,200,First Owner,Manual,Ahmedabad,389000
Honda Amaze,Honda,SX i-DTEC,2015,62000,Diesel,25.8,1498,98.6,200,First Owner,Manual,Ahmedabad,360000
Honda New,Honda,Accord 2008-2011 2.4 MT,2008,85341,Petrol,12.8,2354,177.6,222,Second Owner,Manual,Ahmedabad,300000
Honda City,Honda,i VTEC CVT VX,2016,55000,Petrol,18,1497,117.3,145,First Owner,Automatic,Ahmedabad,878000
Maruti Swift,Maruti,Dzire VDi,2017,20634,Diesel,19.3,1248,73.9,190,First Owner,Manual,Ahmedabad,649000
Ford Figo,Ford,Aspire Titanium Diesel,2017,70000,Diesel,24.4,1499,98.96,215,Second Owner,Manual,Ahmedabad,450000
Honda Amaze,Honda,2016-2021 VX CVT Petrol BSIV,2017,69000,Petrol,19,1199,88.76,110,First Owner,Automatic,Ahmedabad,651000
Maruti Swift,Maruti,Dzire VXI 1.2,2018,73000,Petrol,21.21,1197,81.8,113,First Owner,Manual,Ahmedabad,690000
Audi A4,Audi,35 TDI Premium Plus,2018,14667,Diesel,18.25,1968,187.74,400,First Owner,Automatic,Ahmedabad,3200000
Mercedes Benz,Mercedes,E-Class Exclusive E 220 d BSIV,2019,30486,Diesel,16.1,1950,191.7,400,First Owner,Automatic,Ahmedabad,4800000
Honda City,Honda,i-VTEC CVT V,2019,13300,Petrol,18,1497,117.6,145,First Owner,Automatic,Ahmedabad,1200000
Hyundai Verna,Hyundai,CRDi 1.6 SX,2017,54000,Diesel,22,1582,126.2,259,First Owner,Manual,Ahmedabad,700000
Volkswagen Vento,Volkswagen,Petrol Highline,2011,55417,Petrol,15.04,1598,103.6,153,First Owner,Manual,Ahmedabad,375000
Hyundai Elantra,Hyundai,CRDi SX,2013,60000,Diesel,22.7,1582,126.24,259,Second Owner,Manual,Ahmedabad,575000
Maruti Ertiga,Maruti,SHVS VDI,2016,42000,Diesel,24.52,1248,88.5,200,First Owner,Manual,Ahmedabad,725000
Toyota Corolla,Toyota,Altis 1.8 VL AT,2011,60000,Petrol,14.53,1794,138.1,173,First Owner,Automatic,Ahmedabad,475000
Toyota Etios,Toyota,GD,2016,62000,Diesel,23.59,1364,67.05,170,First Owner,Manual,Ahmedabad,575000
BMW 5,BMW,Series 520d Sedan,2013,100000,Diesel,18.48,2993,261.49,620,Second Owner,Automatic,Ahmedabad,1850000
Skoda Octavia,Skoda,1.8 TSI AT L K,2018,21000,Petrol,15.1,1798,178,250,First Owner,Automatic,Ahmedabad,1975000
Honda Amaze,Honda,S i-Vtech,2015,41000,Petrol,18,1198,86.7,109,First Owner,Manual,Ahmedabad,515000
Honda Amaze,Honda,S i-Vtech,2015,41000,Petrol,18,1198,86.7,109,First Owner,Manual,Ahmedabad,515000
Volkswagen Vento,Volkswagen,Diesel Comfortline,2012,55000,Diesel,20.54,1598,103.6,250,First Owner,Manual,Ahmedabad,330000
Maruti Swift,Maruti,Dzire VDI,2014,62000,Diesel,23.4,1248,74,190,Second Owner,Manual,Ahmedabad,475000
Maruti Swift,Maruti,Dzire ZDi,2010,65000,Diesel,19.3,1248,73.9,190,First Owner,Manual,Ahmedabad,339000
Maruti Ciaz,Maruti,Zeta 1.5,2017,82000,Diesel,26.32,1498,93.87,225,First Owner,Manual,Ahmedabad,695000
Jaguar XF,Jaguar,3.0 Litre S Premium Luxury,2013,75000,Diesel,14.74,2993,270.9,600,First Owner,Automatic,Ahmedabad,1811000
Ford Fiesta,Ford,Classic 1.4 SXI Duratorq,2010,72000,Diesel,17.8,1399,67,160,Second Owner,Manual,Ahmedabad,180000
Toyota Innova,Toyota,2.5 G (Diesel) 7 Seater,2011,83000,Diesel,12.99,2494,100.6,200,First Owner,Manual,Ahmedabad,569000
Maruti Swift,Maruti,Dzire VDI,2015,48570,Diesel,28.4,1248,74.02,190,First Owner,Manual,Ahmedabad,486000
Volkswagen Jetta,Volkswagen,2.0 TDI Trendline,2011,69000,Diesel,15,1896,105,,First Owner,Manual,Ahmedabad,294000
BMW 3,BMW,Series 320d Luxury Line,2013,93000,Diesel,18.88,1995,184,380,First Owner,Automatic,Ahmedabad,1493000
Hyundai Verna,Hyundai,1.6 SX CRDi (O),2013,70000,Diesel,22.32,1582,126.32,259,Second Owner,Manual,Ahmedabad,451000
Maruti Ciaz,Maruti,VDi Plus,2015,65243,Diesel,26.21,1248,88.5,200,First Owner,Manual,Ahmedabad,525000
Volkswagen Vento,Volkswagen,Diesel Trendline,2012,63940,Diesel,20.54,1598,103.6,250,Second Owner,Manual,Ahmedabad,351000
Maruti Ertiga,Maruti,SHVS VDI,2016,69000,Diesel,24.52,1248,88.5,200,First Owner,Manual,Ahmedabad,691000
Toyota Etios,Toyota,VD,2013,64000,Diesel,23.59,1364,0,,First Owner,Manual,Ahmedabad,375000
Ford Aspire,Ford,1.5 TDCi Titanium,2017,68001,Diesel,25.83,1498,99,215,First Owner,Manual,Ahmedabad,600000
Toyota Innova,Toyota,2.5 G4 Diesel 8-seater,2009,76000,Diesel,12.8,2494,102,20,Third Owner,Manual,Ahmedabad,400000
Toyota Innova,Toyota,2.5 GX (Diesel) 7 Seater BS IV,2015,55000,Diesel,12.8,2494,102,20,First Owner,Manual,Ahmedabad,1000000
Volkswagen Vento,Volkswagen,1.5 TDI Highline,2016,95000,Diesel,20.34,1498,103.2,250,First Owner,Manual,Ahmedabad,670000
Volvo XC,Volvo,90 D5 Inscription,2020,37000,Diesel,17.2,1969,235,480,First Owner,Automatic,Ahmedabad,7500000
Honda City,Honda,i VTEC V,2017,59000,Petrol,17.8,1497,117.3,145,First Owner,Manual,Ahmedabad,825000
Hyundai Aura,Hyundai,SX option Diesel,2020,10000,Diesel,25.35,1186,73.97,190,First Owner,Manual,Ahmedabad,790000
Maruti Ciaz,Maruti,Alpha 1.5,2019,31001,Diesel,26.82,1498,93.87,225,First Owner,Manual,Ahmedabad,925000
Honda City,Honda,i DTec SV,2014,51000,Diesel,26,1498,98.6,200,First Owner,Manual,Ahmedabad,551000
Honda City,Honda,1.5 S MT,2011,78000,Petrol,17,1497,118,146,First Owner,Manual,Ahmedabad,400000
Volvo XC60,Volvo,D4 SUMMUM,2014,114000,Diesel,14.7,1984,181,400,First Owner,Automatic,Ahmedabad,1651000
Maruti Ciaz,Maruti,Alpha BSIV,2019,45000,Petrol,21.56,1462,103.25,138,First Owner,Manual,Ahmedabad,925000
Maruti Swift,Maruti,Dzire VDI,2019,58000,Diesel,28.4,1248,74.02,190,First Owner,Manual,Ahmedabad,690000
Hyundai Verna,Hyundai,CRDi 1.6 AT SX Plus,2018,80000,Diesel,22,1582,126.2,259,First Owner,Automatic,Ahmedabad,1050000
Maruti Swift,Maruti,Dzire VXI 1.2,2018,62348,Petrol,21.21,1197,81.8,113,First Owner,Manual,Ahmedabad,611000
BMW X3,BMW,xDrive 20d Luxury Line,2019,18000,Diesel,16.55,1995,187.7,400,First Owner,Automatic,Ahmedabad,5400000
Mercedes Benz,Mercedes,C-Class Progressive C 220d,2018,24500,Diesel,12.6,1950,194,400,First Owner,Automatic,Ahmedabad,3550000
Volkswagen Ameo,Volkswagen,1.5 TDI Comfortline,2017,29000,Diesel,21.66,1498,108.62,250,First Owner,Manual,Ahmedabad,600000
Maruti Ertiga,Maruti,SHVS VDI Limited Edition,2017,65000,Diesel,24.52,1248,88.5,200,Second Owner,Manual,Ahmedabad,751000
Mercedes Benz,Mercedes,A-Class A200 CDI,2015,67000,Diesel,20,2143,107.3,250,Second Owner,Automatic,Ahmedabad,1450000
Honda City,Honda,i DTEC SV,2015,63000,Diesel,26,1498,98.6,200,Second Owner,Manual,Ahmedabad,551000
Honda Amaze,Honda,2016-2021 V CVT Diesel,2018,39000,Diesel,21,1498,78.9,160,First Owner,Automatic,Ahmedabad,775000
Mercedes Benz,Mercedes,E-Class E 220 CDI Avantgarde,2013,75000,Diesel,10,2148,170,400,First Owner,Automatic,Ahmedabad,1650000
Toyota Innova,Toyota,Crysta 2016-2020 2.4 ZX AT,2017,96000,Diesel,13.68,2393,147.51,360,First Owner,Automatic,Ahmedabad,1850000
Toyota Etios,Toyota,GD,2013,68000,Diesel,23.59,1364,67.05,170,First Owner,Manual,Ahmedabad,390000
Honda Amaze,Honda,2016-2021 S i-DTEC,2018,19951,Diesel,25.8,1498,98.6,200,First Owner,Manual,Ahmedabad,750000
Volkswagen Vento,Volkswagen,1.5 TDI Highline AT,2017,55000,Diesel,22.15,1498,108.6,250,First Owner,Automatic,Ahmedabad,700000
Honda Mobilio,Honda,RS Option i DTEC,2014,85000,Diesel,24.5,1498,98.6,200,First Owner,Manual,Ahmedabad,575000
Audi A4,Audi,35 TDI Technology,2018,15000,Diesel,18.25,1968,187.74,400,First Owner,Automatic,Ahmedabad,3150000
Honda Civic,Honda,1.8 S MT,2009,51000,Petrol,13.5,1799,130,172,First Owner,Manual,Ahmedabad,300000
Mercedes Benz,Mercedes,M-Class ML 250 CDI,2015,60000,Diesel,15.26,2143,203.2,500,First Owner,Automatic,Ahmedabad,3000000
Maruti Ertiga,Maruti,ZXI,2016,35752,Petrol,19.01,1462,103.26,138,First Owner,Manual,Ahmedabad,649000
Honda Amaze,Honda,S i-Dtech,2013,80000,Diesel,25.8,1498,98.6,200,First Owner,Manual,Ahmedabad,369000
Maruti Swift,Maruti,Dzire ZXi,2012,40000,Petrol,17.5,1298,85.8,114,First Owner,Manual,Ahmedabad,425000
Skoda Laura,Skoda,Ambition 2.0 TDI CR MT,2013,72000,Diesel,20,1968,108.5,250,First Owner,Manual,Ahmedabad,450000
Maruti Eeco,Maruti,5 Seater AC BSIV,2012,51000,Petrol,15.37,1196,73,101,First Owner,Manual,Ahmedabad,290000
Toyota Innova,Toyota,2.5 G (Diesel) 8 Seater BS IV,2011,83000,Diesel,12.8,2494,102,290,First Owner,Manual,Ahmedabad,570000
Honda City,Honda,i DTEC V,2016,65000,Diesel,26,1498,98.6,200,First Owner,Manual,Ahmedabad,645000
Hyundai Xcent,Hyundai,1.1 CRDi S,2017,64000,Diesel,24.4,1120,71,180,First Owner,Manual,Ahmedabad,534000
Audi Q7,Audi,2006-2020 4.2 TDI Quattro Technology,2010,68000,Diesel,11.33,4134,335.2,800,First Owner,Automatic,Ahmedabad,1374000
Audi A4,Audi,2.0 TDI Multitronic,2014,76000,Diesel,16.55,1968,140,32,First Owner,Automatic,Ahmedabad,1449000
Honda City,Honda,1.5 S MT,2010,62000,Petrol,17,1497,118,146,Second Owner,Manual,Ahmedabad,370000
Mercedes Benz,Mercedes,B-Class B180 Sport,2013,52000,Petrol,14.8,1595,120.69,200,Second Owner,Automatic,Ahmedabad,1100000
Maruti Ciaz,Maruti,ZDi Plus SHVS,2017,60001,Diesel,28.09,1248,88.5,200,First Owner,Manual,Ahmedabad,650000
Renault Scala,Renault,Diesel RxL,2013,60003,Diesel,21.64,1461,84.8,200,First Owner,Manual,Ahmedabad,325000
Volkswagen Vento,Volkswagen,Konekt Diesel Highline,2014,55000,Diesel,20.54,1598,103.6,250,First Owner,Manual,Ahmedabad,420000
Toyota Innova,Toyota,2.5 G (Diesel) 8 Seater,2011,59000,Diesel,12.99,2494,100,200,Second Owner,Manual,Ahmedabad,470000
Mercedes Benz,Mercedes,C-Class C 220 CDI Style,2016,73000,Diesel,19.27,2143,167.62,400,First Owner,Automatic,Ahmedabad,2750000
Maruti Swift,Maruti,Dzire VXI,2015,65000,Petrol,20.85,1197,83.14,115,First Owner,Manual,Ahmedabad,475000
Maruti Eeco,Maruti,5 Seater STD,2012,22475,Petrol,16.11,1196,72.42,98,First Owner,Manual,Ahmedabad,295000
Toyota Corolla,Toyota,Altis G AT,2017,41000,Petrol,14.28,1798,138.03,173,First Owner,Automatic,Ahmedabad,1300000
Maruti Swift,Maruti,Dzire VDI,2015,65000,Diesel,26.59,1248,74,190,First Owner,Manual,Ahmedabad,491000
