Model,brand,variant,mfg,km_drvn,fuel,mileage,engine,max_pwr,torque,owner,transmission,location,Price
Hyundai Santro Xing,Hyundai,GLS,2008,38000,Petrol,17.92,1086,62.1,96.1,First Owner,Manual,Patna,150000
Ford Ecosport,Ford,1.5 Diesel Titanium BSIV,2017,40000,Diesel,23,1498,98.96,205,First Owner,Manual,Patna,750000
Maruti Swift,Maruti,VDI,2018,26352,Diesel,28.4,1248,74,190,First Owner,Manual,Patna,625000
Hyundai Grand i10,Hyundai,CRDi Asta,2014,15358,Diesel,24,1120,70,160,First Owner,Manual,Patna,465000
Mahindra Scorpio,Mahindra,S2 7 Seater,2014,48000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,851000
Mahindra Scorpio,Mahindra,S4 7 Seater,2017,54000,Diesel,15.4,2179,120,280,First Owner,Manual,Patna,925000
Mahindra Scorpio,Mahindra,SLE BSIV,2013,59321,Diesel,12.05,2179,120,290,Second Owner,Manual,Patna,605000
Mahindra Scorpio,Mahindra,S2 7 Seater,2016,44000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,925000
Maruti Swift Dzire,Maruti,VDI,2015,41235,Diesel,28.4,1248,74.02,190,First Owner,Manual,Patna,525000
Mahindra Scorpio,Mahindra,M2DI,2012,142000,Diesel,13.5,2179,115,277.5,First Owner,Manual,Patna,520000
Mahindra XUV500,Mahindra,W6 2WD,2014,120000,Diesel,15.1,2179,140,330,First Owner,Manual,Patna,651000
Renault Duster,Renault,85PS Diesel RxE,2014,40000,Diesel,20.45,1461,83.8,200,First Owner,Manual,Patna,449000
Tata Safari Storme,Tata,VX,2016,45265,Diesel,14.1,2179,148,320,First Owner,Manual,Patna,810000
Mahindra Scorpio,Mahindra,VLX 2WD AIRBAG AT BSIV,2012,58042,Diesel,12.05,2179,120,290,First Owner,Manual,Patna,850000
Maruti Baleno,Maruti,Sigma,2018,28000,Petrol,21.01,1197,81.8,113,First Owner,Manual,Patna,575000
Maruti Ertiga,Maruti,VDI,2012,48160,Diesel,25.47,1248,88.5,200,Second Owner,Manual,Patna,525000
Mahindra Bolero,Mahindra,SLX,2013,45250,Diesel,15.96,2523,62.1,195,First Owner,Manual,Patna,500000
Tata Sumo,Tata,EX,2012,55000,Diesel,15.3,2956,83.8,250,First Owner,Manual,Patna,325000
Mahindra Bolero,Mahindra,SLE,2013,46000,Diesel,15.96,2523,62.1,195,First Owner,Manual,Patna,495000
Maruti Alto K10,Maruti,2010-2014 VXI,2012,68000,Petrol,20.92,998,67.1,90,First Owner,Manual,Patna,195000
Ford Figo,Ford,1.2P Titanium Opt MT,2017,39000,Petrol,18.16,1196,86.8,112,First Owner,Manual,Patna,375000
Mahindra Scorpio,Mahindra,S10 AT 2WD,2015,51000,Diesel,15.4,2179,120,280,First Owner,Automatic,Patna,995000
Maruti Wagon R,Maruti,VXI Opt 1.2,2016,46000,Petrol,20.52,1197,81.8,113,First Owner,Manual,Patna,390000
Tata Safari Storme,Tata,EX,2012,62000,Diesel,14,2179,138.1,320,First Owner,Manual,Patna,350000
Mahindra Bolero,Mahindra,SLE,2013,53000,Diesel,15.96,2523,62.1,195,First Owner,Manual,Patna,495000
Mahindra Scorpio,Mahindra,S3 Plus,2018,52000,Diesel,0,2179,120,280,First Owner,Manual,Patna,1040000
Maruti Swift Dzire,Maruti,AMT VXI BS IV,2015,46000,Petrol,22,1197,81.8,113,Second Owner,Automatic,Patna,625000
Hyundai i10,Hyundai,Magna,2011,28000,Petrol,20.36,1197,78.9,111.7,First Owner,Manual,Patna,255000
Mahindra Scorpio,Mahindra,SLE 7S BSIII,2012,60000,Diesel,12.05,2179,120,290,Second Owner,Manual,Patna,590000
Mahindra XUV500,Mahindra,W10 AWD,2016,46000,Diesel,16,2179,140,330,First Owner,Manual,Patna,1050000
Mahindra Bolero,Mahindra,SLE,2013,42200,Diesel,15.96,2523,62.1,195,First Owner,Manual,Patna,511000
Mahindra Scorpio,Mahindra,S2 7 Seater,2015,52000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,875000
Maruti Swift Dzire,Maruti,VDi,2011,41000,Diesel,19.3,1248,73.9,190,First Owner,Manual,Patna,315000
Maruti Swift,Maruti,VXI,2018,28221,Petrol,22,1197,81.8,113,Second Owner,Manual,Patna,525000
Mahindra Scorpio,Mahindra,SLE 7S BSIV,2013,59000,Diesel,12.05,2179,120,290,First Owner,Manual,Patna,600000
Maruti Swift,Maruti,Vdi BSIII,2011,41000,Diesel,17.8,1248,75,190,First Owner,Manual,Patna,315000
Hyundai i20 Active,Hyundai,1.4 SX,2017,37136,Diesel,21.19,1396,88.73,220,First Owner,Manual,Patna,680000
Maruti Swift Dzire,Maruti,VDI,2016,32000,Diesel,28.4,1248,74.02,190,First Owner,Manual,Patna,525000
Mahindra Scorpio,Mahindra,1.99 S10,2016,42000,Diesel,15.4,1997,120,280,First Owner,Manual,Patna,1075000
Mahindra Scorpio,Mahindra,S6 Plus 7 Seater,2017,52000,Diesel,15.4,2179,120,280,First Owner,Manual,Patna,1050000
Maruti Alto 800,Maruti,LXI,2016,15246,Petrol,22.74,796,47.3,69,First Owner,Manual,Patna,280000
Mahindra Scorpio,Mahindra,S2 7 Seater,2017,39000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,955000
Mahindra Scorpio,Mahindra,S3 9 Seater BSIV,2019,45400,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,1050000
Toyota Fortuner,Toyota,3.0 Diesel,2010,70227,Diesel,11.5,2982,171,343,Second Owner,Manual,Patna,951000
Mahindra Bolero Power Plus,Mahindra,ZLX,2015,32000,Diesel,16.5,1493,70,195,First Owner,Manual,Patna,510000
Toyota Etios Liva,Toyota,1.2 V Dual Tone,2016,40000,Petrol,17.71,1197,78.9,104,First Owner,Manual,Patna,400000
Maruti Alto K10,Maruti,2010-2014 VXI,2012,120000,Petrol,20.92,998,67.1,90,Second Owner,Manual,Patna,200000
Maruti Ritz,Maruti,VXI,2010,60000,Petrol,21.1,1197,85.8,114,Second Owner,Manual,Patna,223000
Hyundai Creta,Hyundai,1.6 CRDi SX Plus,2015,50000,Diesel,19.67,1582,126.2,259.9,First Owner,Manual,Patna,725000
Tata Indigo,Tata,LX (TDI) BS-III,2016,40000,Diesel,19.09,1405,69.01,135,First Owner,Manual,Patna,395000
Tata Indigo,Tata,LX (TDI) BS-III,2014,90000,Diesel,19.09,1405,69.01,135,First Owner,Manual,Patna,240000
Maruti Baleno,Maruti,1.3 Alpha,2017,25000,Diesel,27.39,1248,74,190,First Owner,Manual,Patna,730000
Chevrolet Spark,Chevrolet,1.0 PS,2010,30000,Petrol,16,995,63,90.3,First Owner,Manual,Patna,100000
Hyundai Creta,Hyundai,1.6 E,2016,42000,Petrol,15.8,1591,121.3,151,First Owner,Manual,Patna,800000
Maruti Celerio,Maruti,ZXI Optional,2015,66235,Petrol,23.1,998,67.04,90,First Owner,Manual,Patna,375000
Maruti Wagon R,Maruti,VXI BS IV,2015,30000,Petrol,20.51,998,67.04,90,First Owner,Manual,Patna,325000
Tata Indigo,Tata,LX (TDI) BS-III,2017,80000,Diesel,19.09,1405,69.01,135,First Owner,Manual,Patna,350000
Maruti Celerio X,Maruti,ZXI BSIV,2019,10000,Petrol,21.63,998,67,90,First Owner,Manual,Patna,500000
Maruti Alto 800,Maruti,VXI,2015,52000,Petrol,22.74,796,47.3,69,First Owner,Manual,Patna,265000
Mahindra Bolero,Mahindra,ZLX,2014,80000,Diesel,15.96,2523,62.1,195,First Owner,Manual,Patna,450000
Datsun GO Plus,Datsun,T BSIV,2017,40000,Petrol,19.44,1198,67,104,First Owner,Manual,Patna,375000
Tata Safari Storme,Tata,VX,2015,52000,Diesel,14.1,2179,148,320,First Owner,Manual,Patna,751000
Mahindra Scorpio,Mahindra,S3 9 Seater BSIV,2018,60000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,880000
Renault Duster,Renault,110PS Diesel RxL Explore,2016,50000,Diesel,19.64,1461,108.45,245,First Owner,Manual,Patna,650000
Hyundai EON,Hyundai,Era Plus,2012,25000,Petrol,21.1,814,55.2,74.5,First Owner,Manual,Patna,200000
Mahindra Scorpio,Mahindra,S3 9 Seater BSIV,2018,42000,Diesel,15.4,2523,75,200,First Owner,Manual,Patna,1075000
Hyundai i20,Hyundai,Magna 1.2,2017,5000,Petrol,18.6,1197,81.83,114.7,First Owner,Manual,Patna,550000
Hyundai Accent,Hyundai,GLE,2008,100000,Petrol,13.2,1495,94,12.5,Second Owner,Manual,Patna,140000
Ford Figo Aspire,Ford,1.2 Ti-VCT Titanium,2017,12100,Petrol,18.16,1196,86.8,112,First Owner,Manual,Patna,480000
Hyundai i20,Hyundai,Magna,2010,80000,Petrol,18.5,1197,80,114,Third Owner,Manual,Patna,180000
Volvo XC40,Volvo,T4 R-Design BSIV,2020,38502,Petrol,15.7,1969,190,300,First Owner,Automatic,Kolkata,3499000
Land Rover Range Rover Evoque,Land Rover,2.0 TD4 Landmark Edition,2019,5000,Diesel,15.68,1999,177,430,First Owner,Automatic,Kolkata,5000000
Audi Q3,Audi,35 TDI Quattro Premium Plus,2018,40360,Diesel,15.73,1968,174.33,380,First Owner,Automatic,Kolkata,2149000
BMW 3 Series,BMW,320d Edition Sport,2018,40971,Diesel,22.69,1995,187.74,400,First Owner,Automatic,Kolkata,2599000
Audi A4,Audi,30 TFSI Premium Plus,2018,8779,Petrol,17.84,1395,147.51,250,First Owner,Automatic,Kolkata,2600000
Mercedes-Benz GLA Class,Mercedes,200 d Style,2018,33178,Diesel,17.9,2143,136,300,First Owner,Automatic,Kolkata,2499000
BMW X1,BMW,xDrive 20d M Sport,2017,53001,Diesel,20.68,1995,188,400,First Owner,Automatic,Kolkata,2299000
Volvo V40,Volvo,D3 R Design,2017,10000,Diesel,16.8,1969,150,320,First Owner,Automatic,Kolkata,1975000
Jaguar XE,Jaguar,Prestige,2017,20000,Petrol,13.6,1999,197.13,320,First Owner,Automatic,Kolkata,2190000
BMW X1,BMW,xDrive 20d xLine,2017,36000,Diesel,20.68,1995,190,400,First Owner,Automatic,Kolkata,2250000
Mercedes-Benz E-Class,Mercedes,Exclusive E 220d,2017,19260,Diesel,16.1,1950,191.7,400,First Owner,Automatic,Kolkata,3800000
Audi A3 cabriolet,Audi,40 TFSI Premium Plus,2016,41094,Petrol,16.6,1798,177,250,First Owner,Automatic,Kolkata,3200000
Audi Q5,Audi,30 TDI quattro Premium,2016,45000,Diesel,14.16,1968,174.3,380,First Owner,Automatic,Kolkata,1750000
Volvo XC 90,Volvo,D5 Inscription,2016,69700,Diesel,17.2,1969,235,480,First Owner,Automatic,Kolkata,4499000
Audi Q3,Audi,Design Edition 35 TDI quattro,2016,15000,Diesel,15.17,1968,181,380,First Owner,Automatic,Kolkata,1799000
Land Rover Discovery Sport,Land Rover,SD4 HSE Luxury,2016,60000,Diesel,12.97,2179,187.7,420,First Owner,Automatic,Kolkata,3000000
BMW 5 Series,BMW,520d Luxury Line,2015,34000,Diesel,18.12,1995,190,400,Second Owner,Automatic,Kolkata,2350000
BMW 3 Series,BMW,320d Luxury Line,2015,29000,Diesel,22.69,1995,190,400,First Owner,Automatic,Kolkata,2075000
Mercedes-Benz A Class,Mercedes,A180 CDI,2015,33000,Diesel,20,2143,107.3,250,Second Owner,Automatic,Kolkata,1090000
Porsche Cayman,Porsche,S,2015,18111,Petrol,14.08,3436,325,370,First Owner,Manual,Kolkata,6500000
Mercedes-Benz New C-Class,Mercedes,220 CDI AT,2015,41001,Diesel,14.84,2143,170,400,First Owner,Automatic,Kolkata,2399000
Audi Q3,Audi,35 TDI Quattro Premium Plus,2015,59000,Diesel,15.17,1968,181,380,First Owner,Automatic,Kolkata,1649000
